name,branche,beschreibung,adresse,id
Göldlin Apotheke,Apotheke,Apotheke,"Rathausgasse 29
5001 Aarau",3313
Architekten-Gruppe Bircher Roth von Arx AG,Architektur,,"Stritengässli 24
5000 Aarau",3315
Fritz Glaus & Co. AG,Automobile,Garage / Verkauf -> Nutzfahrzeuge / Personenwagen,"Postfach 2836
5001 Aarau",3316
Furter Bäckerei - Konditorei,Bäckerei - Konditorei - Confiserie,"Brot, Bio Brot","Bahnhofstrasse 9
5000 Aarau",3317
Aargauische Kantonalbank,Bank,Regionaldirektion Aarau,"Bahnhofplatz 1
5001 Aarau",3318
Aarebau AG,Bedachungen,Flachdach- und Spenglerarbeiten,"Staffeleggstrasse 16
5024 Küttigen",3319
Aarebeton Aarau AG,Baugewerbe,Produktion und Vertrieb von Transportbeton,"Im Lostorf 3
5033 Buchs",3322
Aare Touring Garage AG,Automobile,,"Steinachermattweg 1
5033 Buchs",3323
AZ Zeitungen AG,Medien,Medien,"Neumattstrasse 1
5001 Aarau",3324
Widmer Peter E.,Advokatur- und Notariatsbüro,,"Hintere Bahnhofstrasse 6
5001 Aarau",3326
Aeschlimann AG,Baugewerbe,,"Herzogstrasse 27
5000 Aarau",3327
AFM Stadtgarage AG,Automobile,,"Weihermattstrasse 82
5001 Aarau",3328
"Radio Medien AG, Radio Argovia",Medien,De Soundtrack zom Läbe,"Bahnhofstrasse 41
5001 Aarau",3329
APG|SGA Allgemeine Plakatgesellschaft AG,Werbung,Grösster Out-of-home Medienanbieter der Schweiz,"Mühlemattstrasse 50
5001 Aarau",3330
Allianz Suisse,Versicherung,"Versicherung, Vorsorge, Vermögen","Hintere Bahnhofstrasse 8
5001 Aarau",3331
AMA Messe und Kongress AG,Dienstleistungen,Messe- und Eventorganisation,"Rössligutstrasse 2
5000 Aarau",3332
Architektengemeinschaft 4 AG,Architektur,,"Laurenzentorgasse 16
5000 Aarau",3333
"Ralph Schiltknecht, Rechtsanwalt und Mediator SDM",Advokatur- und Notariatsbüro,Advokatur / Mediation / Notariat,"Rain 53
5001 Aarau",3334
Pfisterer Fretz Rechtsanwälte,Rechtsanwalt,Wir beraten Sie umfassend insbesondere in Angelegenheiten des öffentlichen Rechts.,"Frey-Herosé-Strasse 25
5000 Aarau",3335
Aschwanden Aarau AG,Bedachungen,Bedachungen / Fassadenbau / Spenglerei,"Postfach
5001 Aarau",3336
AWTreuhand AG,Treuhand,Treuhand und Revisionsgesellschaft,"Erlinsbacherstrasse 3
5001 Aarau",3337
Telecomcenter Aarau GmbH,Telecommunikation,,"Buchserstrasse 34
5000 Aarau",3338
"SCOOTER Fashion Shop, Baghdadi International AG",Mode - Bekleidung,"Damenmode für jede Gelegenheit, eigenes Label SCOOTER","Postfach 2421
5001 Aarau",3340
